Latitude,Longitude,Name,Description,Icon,ep_Circle,PolygonFillType,,,,,,,,,,,
18.24511,-65.64342,JOSE APONTE DE LA TORRE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.26861,-65.75866,JSS LRRS QJQ CARSR PICO DEL ESTE PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
 18.381425,-65.95577,CAROLINA CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.44352,-65.99235,MUNIZ ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.44202,-65.99384,POL STORAGE MUNIZ ANGB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.43725,-65.99408,LUIS MUNOZ MARIN INTERNATIONAL CARGO AREA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.43940,-66.00213,LUIS MUNOZ MARIN INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.23765,-66.03613,CAGUAS CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.45552,-66.09596,PUERTO RICO ARNG AASF SAN JUAN,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.45678,-66.09847,FERNANDO LUIS RIBAS DOMINICCI,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.42788,-66.10492,TPP CENTRAL SAN JUAN PLANT SAN JUAN PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.46662,-66.10598,CAPITOL OF PUERTO RICO,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.46583,-66.11666,SAN JUAN CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.41279,-66.12148,FORT BUCHANAN,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.45559,-66.14881,TPP PALO SECO PLANT CATANO PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
17.94606,-66.14961,TPP AES PUERTO RICO GUAYAMA PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.39612,-66.15558,BAYAMON CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
17.94928,-66.23169,TPP AGUIRRE PLANT SALINAS PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.00436,-66.27847,HF GLOBAL SALINAS PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.02877,-66.28361,PUERTO RICO ARNG CAMP SANTIAGO,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.01304,-66.50565,PUERTO RICO ARNG FORT ALLEN,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.00878,-66.56452,MERCEDITA,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.01094,-66.61396,PONCE CITY HALL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.47094,-66.69926,TPP CAMBALACHE PLANT ARECIBO PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.00051,-66.75386,TPP TPP COSTA SUR PLANT GUAYANILLA PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
17.97893,-66.75563,TPP ECOELECTRICA PENUELAS PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.46273,-67.06692,HF GLOBAL ISABELA PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.49486,-67.12944,RAFAEL HERNANDEZ,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.49646,-67.13590,CGAS BORINQUEN,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.48520,-67.14862,JSS LRRS BQN CARSR PUNTA BORINQUEN PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.21948,-67.16066,TPP MAYAGUEZ PLANT MAYAGUEZ PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.39867,-67.17719,FSBS AGUADA PR,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.64508,-67.28318,FSBS CUTLER ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
44.62955,-67.39542,JSS LRRS J-54 ARSR-4 BUCKS HARBOR ME,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
